Dungeon	Boss	Type	Slot	BaseIlvl	Name	Main Stat	Secondary Stat 1	Secondary Stat 1 Value	Secondary stat 2	Secondary Stat 2 Value	Active/Passive	SourceInst	Role
Sanguine Depths	Kryxis the Voracious	Mail	Wrist	157	Shackles of Alluring Vitality	Agility/Intellect	Critical Strike	31	Versatility	26		Dungeon	Dps/Tank/Heal
Sanguine Depths	Kryxis the Voracious	Plate	Feet	157	Sabatons of the Rushing Juggernaut	Strength/Intellect	Versatility	47	Critical Strike	30		Dungeon	Dps/Tank/Heal
Sanguine Depths	Kryxis the Voracious	Warglaive	One-Hand	157	Hungering Devourer's Twinblade	Agility	Critical Strike	30	Versatility	20		Dungeon	Dps/Tank/Heal
Sanguine Depths	Kryxis the Voracious	Leather	Chest	157	Anima-Splattered Hide	Agility/Intellect	Versatility	56	Critical Strike	45		Dungeon	Dps/Tank/Heal
Sanguine Depths	Kryxis the Voracious	Dagger	One-Hand	157	Voracious Gorger Spine	Agility	Versatility	26	Haste	17		Dungeon	Dps/Tank/Heal
Sanguine Depths	Kryxis the Voracious	Ring	Finger	157	 Entwined Gorger Tendril	NA	Critical Strike	70	Versatility	55		Dungeon	Dps/Tank/Heal
Sanguine Depths	Kryxis the Voracious	Cloth	Wrist	157	Essence Surgers Cuffs	Intellect	Versatility	33	Mastery	25		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Mail	Waist	157	Executor's Prideful Girdle	Agility/Intellect	Haste	47	Versatility	30		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Plate	Wrist	157	Vambraces of the Depraved Warden	Strength/Intellect	Haste	34	Versatility	23		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Cloak	Cloak	157	Cloak of Enveloping Manifestations	Agility/Strength/Intellect	Critical Strike	34	Mastery	22		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Cloth	Shoulders	157	Castigator's Mantle	Intellect	Mastery	42	Versatility	33		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Mace	One-Hand	157	Sinsmasher	Strength	Mastery	30	Critical Strike	20		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Leather	Feet	157	Sinsoaked Waders	Agility/Intellect	Critical Strike	41	Haste	34		Dungeon	Dps/Tank/Heal
Sanguine Depths	Executor Tarvold	Trinket	Trinket	157	Overflowing Anima Prison	Intellect	Use				Place on the ground for 15 sec, increasing the Intellect of up to 5 allies within 8 yds by 57. Using a covenant ability can extend it out to a maximum of 25 sec. (2 Min, 30 Sec Cooldown)	Dungeon	Dps/Heal
Sanguine Depths	Grand Proctor Beryllia	Trinket	Trinket	157	Lingering Sunmote	Intellect	Use				Create a patch of light at the target location for 25 sec. Allies within the light gain 1276 absorb every 5 sec while it persists.	Dungeon	Heal
Sanguine Depths	Grand Proctor Beryllia	Plate	Waist	157	Waistguard of Expurged Anguish	Strength/Intellect	Critical Strike	47	Versatility	30		Dungeon	Dps/Tank/Heal
Sanguine Depths	Grand Proctor Beryllia	Mail	Hands	157	Iron Spiked Handgrips	Agility/Intellect	Mastery	41	Critical Strike	34		Dungeon	Dps/Tank/Heal
Sanguine Depths	Grand Proctor Beryllia	Leather	Wrist	157	Radiant Light Binders	Agility/Intellect	Versatility	31	Mastery	25		Dungeon	Dps/Tank/Heal
Sanguine Depths	Grand Proctor Beryllia	Cloth	Legs	157	Beryllia's Leggings of Endless Torment	Intellect	Critical Strike	58	Mastery	44		Dungeon	Dps/Tank/Heal
Sanguine Depths	Grand Proctor Beryllia	Off-Hand	Off-Hand	157	Vessel of Shining Radiance	Intellect	Critical Strike	30	Mastery	20		Dungeon	Dps/Tank/Heal
Sanguine Depths	General Kaal	Plate	Hands	157	Guilewind Stone Talons	Strength/Intellect	Critical Strike	41	Haste	34		Dungeon	Dps/Tank/Heal
Sanguine Depths	General Kaal	Mail	Legs	157	Wind Dancer's Legguards	Agility/Intellect	Haste	56	Mastery	45		Dungeon	Dps/Tank/Heal
Sanguine Depths	General Kaal	Trinket	Trinket	157	Bladedancer's Armor Kit	Agility/Strength	Use				Increase your armor by 102 and attackers take 65 physical damage when they strike you with melee attacks for 2 min or until you are dealt 10971 physical damage. (5 Min Cooldown)	Dungeon	Tank
Sanguine Depths	General Kaal	Axe	One-Hand	157	Stone General's Edge	Agility	Haste	31	Versatility	18		Dungeon	Dps/Tank/Heal
Sanguine Depths	General Kaal	Leather	Shoulders	157	Wicked Bladewing Pauldrons	Agility/Intellect	Haste	44	Mastery	33		Dungeon	Dps/Tank/Heal
Sanguine Depths	General Kaal	Cloth	Head	157	Cowl of the Devoted General	Intellect	Mastery	60	Haste	42		Dungeon	Dps/Tank/Heal
Sanguine Depths	General Kaal	Trinket	Trinket	157	Decanter of Anima-Charged Winds	Agility/Strength	Equip					Dungeon	Dps
Sanguine Depths	General Kaal	Sword	One-Hand	157	Kaal's Gloomblade	Intellect	Versatility	30	Mastery	20		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Ring	Finger	157	Stitchflesh's Misplaced Signet	NA	Haste	75	Versatility	49		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Gun	Ranged	157	Blight Belcher	Agility	Versatility	58	Mastery	44		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Mace	One-Hand	157	Engorged Worm Smasher	Strength	Haste	30	Versatility	20		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Plate	Waist	157	Fused Bone Greatbelt	Strength/Intellect	Mastery	45	Versatility	30		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Leather	Feet	157	Viscera-Stitched Footpads	Agility/Intellect	Versatility	41	Critical Strike	34		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Cloth	Head	157	Abominable Visage	Intellect	Critical Strike	56	Mastery	45		Dungeon	Dps/Tank/Heal
Necrotic Wake	Blightbone	Mail	Shoulders	157	Blightbone Spaulders	Agility/Intellect	Versatility	47	Mastery	30		Dungeon	Dps/Tank/Heal
Necrotic Wake	Amarth, The Harvester	Sword	One-Hand	157	Amarth's Spellblade	Intellect	Critical Strike	30	Haste	20		Dungeon	Dps/Tank/Heal
Necrotic Wake	Amarth, The Harvester	Plate	Legs	157	Legplates of Unholy Frenzy	Strength/Intellect	Critical Strike	61	Mastery	41		Dungeon	Dps/Tank/Heal
Necrotic Wake	Amarth, The Harvester	Cloth	Shoulders	157	Reanimator's Mantle	Intellect	Haste	42	Mastery	33		Dungeon	Dps/Tank/Heal
Necrotic Wake	Amarth, The Harvester	Trinket	Trinket	157	Bottled Chimera Toxin	Agility	Use				Use: Coat your weapons in Flayedwing Toxin for 1 hour, giving your attacks a high chance to deal 627 Nature damage over 6 sec.	Dungeon	Dps
Necrotic Wake	Amarth, The Harvester	Mail	Head	157	Rattling Deadeye Hood	Agility/Intellect	Critical Strike	63	Mastery	39		Dungeon	Dps/Tank/Heal
Necrotic Wake	Amarth, The Harvester	Leather	Wrist	157	Risen Monstrosity Cuffs	Agility/Intellect	Haste	31	Versatility	26		Dungeon	Dps/Tank/Heal
Necrotic Wake	Surgeon Stitchflesh	Trinket	Trinket	157	Spare Meat Hook	Strength	Use				Use: Hook an enemy who is within 8 yds, causing them to bleed for 423 Physical damage every 1 sec and reducing their movement speed by 50%. Lasts 10 sec, or until they move more than 16 yds away from you. (2 Min Cooldown)	Dungeon	Dps/Tank
Necrotic Wake	Surgeon Stitchflesh	Shield	Off-Hand	157	Encrusted Canopic Lid	Strength/Intellect	Critical Strike	30	Versatility	20		Dungeon	Dps/Tank/Heal
Necrotic Wake	Surgeon Stitchflesh	Plate	Shoulders	157	Vile Butcher's Pauldrons	Strength/Intellect	Critical Strike	47	Versatility	30		Dungeon	Dps/Tank/Heal
Necrotic Wake	Surgeon Stitchflesh	Leather	Chest	157	Freshly Embalmed Jerkin	Agility/Intellect	Mastery	56	Critical Strike	45		Dungeon	Dps/Tank/Heal
Necrotic Wake	Surgeon Stitchflesh	Cloth	Hands	157	Gory Surgeon's Gloves	Intellect	Mastery	44	Critical Strike	33		Dungeon	Dps/Tank/Heal
Necrotic Wake	Surgeon Stitchflesh	Trinket	Trinket	157	Satchel of Misbegotten Minions	Intellect	Equip				Equip: Your damaging spells have a chance to draw a minion from the satchel, sending it running at your target where it explodes, dealing 1145 Shadow damage split between all nearby enemies.	Dungeon	Dps
Necrotic Wake	Surgeon Stitchflesh	Mail	Feet	157	Striders of Restless Malice	Agility/Intellect	Versatility	41	Critical Strike	34		Dungeon	Dps/Tank/Heal
Necrotic Wake	Surgeon Stitchflesh	Dagger	One-Hand	157	Stitchflesh's Scalpel	Agility	Mastery	30	Critical Strike	20		Dungeon	Dps/Tank/Heal
Necrotic Wake	Nalthor the Rimebinder	Sword	Two-Hand	157	Rimebinder's Runeblade	Strength	Haste	60	Versatility	42		Dungeon	Dps/Tank/Heal
Necrotic Wake	Nalthor the Rimebinder	Trinket	Trinket	157	Siphoning Phylactery Shard	Intellect	Use				Use: Sacrifice 1247 health to charge the phylactery for 30 sec. Healing a target below 30% health expends the phylactery's charge to amplify your spell, restoring 2494 additional health to the target.	Dungeon	Heal
Necrotic Wake	Nalthor the Rimebinder	Plate	Head	157	Dark Frost Helmet	Strength/Intellect	Versatility	61	Haste	41		Dungeon	Dps/Tank/Heal
Necrotic Wake	Nalthor the Rimebinder	Ring	Finger	157	Ritual Commander's Ring	NA	Versatility	73	Critical Strike	52		Dungeon	Dps/Tank/Heal
Necrotic Wake	Nalthor the Rimebinder	Leather	Shoulders	157	Undying Chill Shoulderpads	Agility/Intellect	Mastery	41	Versatility	34		Dungeon	Dps/Tank/Heal
Necrotic Wake	Nalthor the Rimebinder	Mail	Legs	157	Lichbone Legguards	Agility/Intellect	Versatility	63	Haste	39		Dungeon	Dps/Tank/Heal
Necrotic Wake	Nalthor the Rimebinder	Cloth	Wrist	157	Necropolis Lord's Shackles	Intellect	Mastery	31	Versatility	25		Dungeon	Dps/Tank/Heal
Plaguefall	Globgrog	Trinket	Trinket	157	Slimy Consumptive Organ	Stamina	Equip				Equip: Taking damage has a high chance to grant you Gluttonous, stacking up to 9 times. Use: Spew out a Slimey Morsel for every stack of Gluttonous. The Morsels immediately attempt to return to you, each healing you for 447. (20 Sec Cooldown)	Dungeon	Tank
Plaguefall	Globgrog	Mail	Legs	157	Blightborne Chain Legguards	Agility/Intellect	Critical Strike	55	Mastery	45		Dungeon	Dps/Tank/Heal
Plaguefall	Globgrog	Leather	Head	157	Disgested Interrogator's Gaze	Agility/Intellect	Mastery	56	Haste	45		Dungeon	Dps/Tank/Heal
Plaguefall	Globgrog	Plate	Head	157	Plague Handler's Greathelm	Strength/Intellect	Critical Strike	63	Mastery	39		Dungeon	Dps/Tank/Heal
Plaguefall	Globgrog	Dagger	One-Hand	157	Surgical Pustule Extractor	Intellect	Critical Strike	30	Mastery	20		Dungeon	Dps/Tank/Heal
Plaguefall	Globgrog	Cloth	Feet	157	Stradama's Misplaced Slippers	Intellect	Mastery	44	Critical Strike	33		Dungeon	Dps/Tank/Heal
Plaguefall	Doctor Ickus	Cloth	Head	157	Depraved Physician's Mask	Intellect	Haste	60	Mastery	42		Dungeon	Dps/Tank/Heal
Plaguefall	Doctor Ickus	Trinket	Trinket	157	Phial of Putrefaction	Agility/Strength	Equip				Equip: Every 5 sec, your next melee ability applies Liquefying Ooze, dealing [54 * (10) * (1 + Versatility)] Nature damage over 30 sec.	Dungeon	Dps/Tank
Plaguefall	Doctor Ickus	Mace	One-Hand	157	Sophisticated Bonecracker	Strength	Versatility	31	Haste	18		Dungeon	Dps/Tank/Heal
Plaguefall	Doctor Ickus	Mail	Wrist	157	Tortured Assistant's Bindings	Agility/Intellect	Versatility	31	Mastery	25		Dungeon	Dps/Tank/Heal
Plaguefall	Doctor Ickus	Leather	Shoulders	157	Malodorous Gristle-Sown Spaulders	Agility/Intellect	Versatility	44	Mastery	33		Dungeon	Dps/Tank/Heal
Plaguefall	Doctor Ickus	Plate	Hands	157	Fleshfused Crushers	Strength/Intellect	Versatility	41	Haste	34		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Polearm	Two-Hand	157	Halberd of the Aranakk	Agility	Haste	61	Critical Strike	41		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Dagger	One-Hand	157	Domina's Oozing Shiv	Agility	Critical Strike	31	Mastery	18		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Mail	Waist	157	Belt of Wretched Manipulations	Agility/Intellect	Critical Strike	42	Versatility	33		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Cloth	Hands	157	Mitts of Flawless Duplication	Intellect	Versatility	44	Haste	31		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Leather	Wrist	157	Fastened Venombarb Binds	Agility/Intellect	Mastery	33	Versatility	25		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Plate	Waist	157	Scarred Bloodbound Girdle	Strength/Intellect	Versatility	41	Mastery	34		Dungeon	Dps/Tank/Heal
Plaguefall	Domina Venomblade	Ring	Finger	157	Arachnid Cipher Ring	NA	Critical Strike	71	Haste	53		Dungeon	Dps/Tank/Heal
Plaguefall	Margrave Stradama	Trinket	Trinket	157	Infinitely Divisible Ooze	Agility/Intellect	Equip				Equip: Your damaging abilities have a chance to conjure a Frothing Pustule to fight by your side, dealing 860 Nature damage to your target.	Dungeon	Dps
Plaguefall	Margrave Stradama	Mail	Shoulders	157	Plagueborne Shoulderguards	Agility/Intellect	Critical Strike	41	Versatility	34		Dungeon	Dps/Tank/Heal
Plaguefall	Margrave Stradama	Leather	Hands	157	Gloves of Obscure Rituals	Agility/Intellect	Critical Strike	42	Haste	33		Dungeon	Dps/Tank/Heal
Plaguefall	Margrave Stradama	Plate	Feet	157	Muckwallow Stompers	Strength/Intellect	Haste	47	Critical Strike	30		Dungeon	Dps/Tank/Heal
Plaguefall	Margrave Stradama	Sword	One-Hand	157	Poxstorm, Longsword of Pestilence	Agility	Haste	27	Mastery	17	Equip: Your attacks have a high chance to apply Bubbling Pox to nearby enemies, dealing 107 Nature damage over 6 sec.	Dungeon	Dps/Tank/Heal
Plaguefall	Margrave Stradama	Cloth	Legs	157	Leggings of the Erudite Scholar	Intellect	Versatility	58	Haste	44		Dungeon	Dps/Tank/Heal
Plaguefall	Margrave Stradama	Cloak	Cloak	157	Blighted Margrave's Cloak	Agility/Strength/Intellect	Versatility	36	Haste	20		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Mail	Head	157	Soulthorn Visage	Agility/Intellect	Mastery	63	Haste	39		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Trinket	Trinket	157	Unbound Changeling	Intellect	Equip				Equip: Your abilities have a chance to grant you 0 Critical Strike, Haste, and Mastery for 12 sec. (depends on food buff)	Dungeon	Dps
Mists of Tirna	Ingra Maloch	Axe	Two-Hand	157	Drustlord's Greataxe	Strength	Haste	56	Versatility	45		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Plate	Head	157	Wrathbark Greathelm	Strength/Intellect	Haste	60	Mastery	42		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Mail	Waist	157	Clasp of Waning Shadow	Agility/Intellect	Versatility	45	Mastery	30		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Cloth	Shoulders	157	Ingra Maloch's Mantle	Intellect	Critical Strike	44	Versatility	33		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Cloth	Wrist	157	Deathshackle Wristwraps	Intellect	Haste	31	Versatility	25		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Leather	Chest	157	Rainshadow Hauberk	Agility/Intellect	Haste	55	Critical Strike	45		Dungeon	Dps/Tank/Heal
Mists of Tirna	Ingra Maloch	Mace	One-Hand	157	Scithewood Scepter	Intellect	Mastery	28	Critical Strike	22		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Plate	Shoulders	157	Prankster's Pauldrons	Strength/Intellect	Mastery	42	Versatility	33		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Trinket	Trinket	157	Mistcaller Ocarina	Agility	Equip					Dungeon	Dps
Mists of Tirna	Mistcaller	Neck	Neck	157	Trailspinner Pendant	NA	Mastery	75	Critical Strike	49		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Cloth	Hands	157	Tricksprite Gloves	Intellect	Haste	47	Critical Strike	30		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Dagger	One-Hand	157	Tanglewood Thorn	Agility	Haste	26	Versatility	23		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Mail	Shoulders	157	Wintersnap Shoulderguards	Agility/Intellect	Haste	44	Mastery	31		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Plate	Hands	157	Fogweaver Gauntlets	Strength/Intellect	Mastery	44	Critical Strike	33		Dungeon	Dps/Tank/Heal
Mists of Tirna	Mistcaller	Leather	Head	157	Hood of the Hidden Path	Agility/Intellect	Haste	61	Mastery	41		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Cloth	Head	157	Cocoonsilk Cowl	Intellect	Versatility	63	Haste	39		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Axe	One-Hand	157	Axe of the Deadgrove	Strength	Versatility	26	Haste	23		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Staff	Two-Hand	157	Lakali's Spire of Knowledge	Intellect	Versatility	63	Mastery	39		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Plate	Legs	157	Gormshell Greaves	Strength/Intellect	Mastery	56	Haste	45		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Leather	Wrist	157	Bands of the Undergrowth	Agility/Intellect	Critical Strike	33	Versatility	23		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Shield	Off-Hand	157	Acidslough Bulwark	Strength/Intellect	Mastery	30	Haste	20		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Leather	Waist	157	Sapgorger Belt	Agility/Intellect	Haste	45	Versatility	30		Dungeon	Dps/Tank/Heal
Mists of Tirna	Tred'ova	Mail	Wrist	157	Hiveswarm Bracers	Agility/Intellect	Mastery	33	Versatility	25		Dungeon	Dps/Tank/Heal
Halls of Atonement	Halkias, the Sin-Stained Goliath	Mail	Feet	157	Shardskin Sabatons	Agility/Intellect	Mastery	44	Critical Strike	33		Dungeon	Dps/Tank/Heal
Halls of Atonement	Halkias, the Sin-Stained Goliath	Cloth	Chest	157	Sinlight Shroud	Intellect	Critical Strike	61	Haste	41		Dungeon	Dps/Tank/Heal
Halls of Atonement	Halkias, the Sin-Stained Goliath	Leather	Head	157	Hood of Refracted Shadows	Agility/Intellect	Critical Strike	60	Mastery	42		Dungeon	Dps/Tank/Heal
Halls of Atonement	Halkias, the Sin-Stained Goliath	Plate	Legs	157	Halkias' Towering Pillars	Strength/Intellect	Versatility	56	Haste	45		Dungeon	Dps/Tank/Heal
Halls of Atonement	Halkias, the Sin-Stained Goliath	Neck	Neck	157	Sin Stained Pendant	NA	Haste	78	Mastery	46		Dungeon	Dps/Tank/Heal
Halls of Atonement	Echelon	Cloth	Hands	157	Stonefiend Shaper's Mitts	Intellect	Critical Strike	41	Haste	34		Dungeon	Dps/Tank/Heal
Halls of Atonement	Echelon	Mail	Chest	157	Soaring Decimator's Hauberk	Agility/Intellect	Mastery	61	Critical Strike	41		Dungeon	Dps/Tank/Heal
Halls of Atonement	Echelon	Mace	One-Hand	157	Stoneguardian's Morningstar	Agility	Mastery	28	Critical Strike	22		Dungeon	Dps/Tank/Heal
Halls of Atonement	Echelon	Trinket	Trinket	157	Pulsating Stoneheart	Agility/Strength	Use				Use: Increase your armor by 142 and regenerate 486 health every 2 sec for 12 sec, but you are slowed by 50%. (1 Min, 15 Sec Cooldown)	Dungeon	Tank
Halls of Atonement	Echelon	Leather	Legs	157	Skyterror's Stonehide Leggings	Agility/Intellect	Mastery	63	Haste	39		Dungeon	Dps/Tank/Heal
Halls of Atonement	Echelon	Plate	Head	157	Wing Commander's Helmet	Strength/Intellect	Mastery	60	Haste	42		Dungeon	Dps/Tank/Heal
Halls of Atonement	High Adjudicator Aleez	Off-Hand	Off-Hand	157	Nathrian Tabernacle	Intellect	Versatility	30	Critical Strike	20		Dungeon	Dps/Tank/Heal
Halls of Atonement	High Adjudicator Aleez	Cloth	Waist	157	Cord of the Dark Word	Intellect	Critical Strike	42	Versatility	33		Dungeon	Dps/Tank/Heal
Halls of Atonement	High Adjudicator Aleez	Trinket	Trinket	157	Sunblood Amethyst	Agility/Strength/Intellect	Use				Use: Tear the anima from your target dealing 1532 Shadow damage and forming a font of power at your feet increasing your Intellect by 88 for 15 sec. (1 Min, 30 Sec Cooldown)	Dungeon	Dps/Heal
Halls of Atonement	High Adjudicator Aleez	Mail	Shoulders	157	Mantle of Ephemeral Visages	Agility/Intellect	Mastery	47	Versatility	30		Dungeon	Dps/Tank/Heal
Halls of Atonement	High Adjudicator Aleez	Leather	Hands	157	Gloves of Haunting Fixation	Agility/Intellect	Versatility	41	Haste	34		Dungeon	Dps/Tank/Heal
Halls of Atonement	High Adjudicator Aleez	Plate	Chest	157	Breastplate of Otherworldly Influence	Strength/Intellect	Haste	61	Critical Strike	41		Dungeon	Dps/Tank/Heal
Halls of Atonement	Lord Chamberlain	Plate	Shoulders	157	Pauldrons of Unleashed Pride	Strength/Intellect	Versatility	45	Mastery	30		Dungeon	Dps/Tank/Heal
Halls of Atonement	Lord Chamberlain	Leather	Waist	157	Waistcord of Dark Devotion	Agility/Intellect	Mastery	41	Versatility	34		Dungeon	Dps/Tank/Heal
Halls of Atonement	Lord Chamberlain	Ring	Finger	157	Signet of the False Accuser	NA	Mastery	77	Haste	48		Dungeon	Dps/Tank/Heal
